Title,Year,Rating,Plot,Genre
La La Land,2016,8,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their careers.",musical
The Lion King,1994,8.5,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.",musical
The Greatest Showman,2017,7.5,Celebrates the birth of show business and tells of a visionary who rose from nothing to create a spectacle that became a worldwide sensation.,musical
Hazbin Hotel,2019-,7.7,"In an attempt to find a non-violent alternative for reducing Hell's overpopulation, the daughter of Lucifer opens a rehabilitation hotel that offers a group of misfit demons a chance at redemption.",musical
Charlie and the Chocolate Factory,2005,6.7,"Charlie, a young boy from an impoverished family, and four other kids win a tour of an amazing chocolate factory run by an imaginative chocolatier, Willy Wonka, and his staff of Oompa-Loompas.",musical
Sweeney Todd: The Demon Barber of Fleet Street,2007,7.3,"The legendary tale of a barber who returns from wrongful imprisonment to 1840s London, bent on revenge for the rape and death of his wife, and resumes his trade while forming a sinister partnership with his fellow tenant, Mrs. Lovett.",musical
Snow White,2025,N/A,Live-action adaptation of the 1937 Disney animated film 'Snow White and the Seven Dwarfs'.,musical
Mufasa: The Lion King,2024,N/A,"Simba, having become king of the Pride Lands, is determined for his cub to follow in his paw prints while the origins of his late father Mufasa are explored.",musical
Moana,2016,7.6,"In ancient Polynesia, when a terrible curse incurred by the demigod Maui reaches Moana's island, she answers the Ocean's call to seek out Maui to set things right.",musical
Detour,1945,7.3,"The life of Al Roberts, a pianist in a New York nightclub, turns into a nightmare when he decides to hitchhike to Los Angeles to visit his girlfriend.",film-Noir
Sunset Boulevard,1950,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,film-Noir
The Third Man,1949,8.1,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",film-Noir
The Night of the Hunter,1955,8,"A self-proclaimed preacher marries a gullible widow whose young children are reluctant to tell him where their real dad hid the $10,000 he'd stolen in a robbery.",film-Noir
The Big Sleep,1946,7.9,"Private detective Philip Marlowe is hired by a wealthy family. Before the complex case is over, he's seen murder, blackmail and what might be love.",film-Noir
Nightmare Alley,1947,7.7,"The rise and fall of Stanton Carlisle, a mentalist whose lies and deceit prove to be his downfall.",film-Noir
Double Indemnity,1944,8.3,"A Los Angeles insurance representative is seduced by an alluring housewife into a scheme of insurance fraud and murder that arouses the suspicion of his colleague, a claims investigator.",film-Noir
Caged,1950,7.6,"A gentle, naive, pregnant 19-year-old widow is slowly, inexorably ground down by the hardened criminals, sadistic guards, and matron at a woman's prison. Will she be the same person when her sentence is up?",film-Noir
Sudden Fear,1952,7.5,"After an ambitious actor insinuates himself into the life of a wealthy middle-aged playwright and marries her, he plots with his mistress to murder her.",film-Noir
Macao,1952,6.6,"Nick Cochran, an American in exile in Macao, has a chance to restore his name by helping capture an international crime lord. Undercover, can he mislead the bad guys and still woo the attractive singer/petty crook, Julie Benson?",film-Noir
Kid Galahad,1937,7.2,"Fight promoter Nick Donati grooms a bellhop as a future champ, but has second thoughts after the now-named Kid Galahad falls for his sister.",film-Noir
Key Largo,1948,7.7,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",film-Noir
The Maltese Falcon,1941,7.9,"San Francisco private detective Sam Spade takes on a case that involves him with three eccentric criminals, a gorgeous liar and their quest for a priceless statuette, with the stakes rising after his partner is murdered.",film-Noir
Notorious,1946,7.9,The daughter of a convicted German spy is asked by American agents to gather information on a ring of German scientists in South America. How far will she have to go to ingratiate herself with them?,film-Noir
No Questions Asked,1951,6.7,"An insurance lawyer unhappy with his rate of company advancement becomes a middleman in deals to recover stolen property from the Mob, thus earning a nice living. But his actions attract police attention and set him up for a double-cross.",film-Noir
Touch of Evil,1958,8,"A Mexican official and his American wife are targeted in a Texas border town by the crime family he's trying to put behind bars for drug trafficking, as his concern grows over the tactics of the local detective whose cooperation he needs.",film-Noir
Island of Lost Souls,1932,7.4,"A mad doctor conducts ghastly genetic experiments on a remote island in the South Seas, much to the fear and disgust of the shipwrecked sailor who finds himself trapped there.",film-Noir
Hell Drivers,1957,7.2,A rookie trucker tries to expose his boss' rackets.,film-Noir
Strangers on a Train,1951,7.9,A psychopath tries to forcibly persuade a tennis star to agree to his theory that two strangers can get away with murder by submitting to his plan to kill the other's most-hated person.,film-Noir
Strange Alibi,1941,6.2,"In a pre-arranged set-up, a cop strikes his police-chief, is fired and infiltrates the mob but when the police-chief is murdered, the ex-cop is unable to prove his innocence and is left-out in the cold, on the wrong side of the law.",film-Noir
The Killing,1956,7.9,Crook Johnny Clay assembles a five-man team to plan and execute a daring racetrack robbery.,film-Noir
Gilda,1946,7.6,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,film-Noir
To Have and Have Not,1944,7.8,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",film-Noir
Shadow of a Doubt,1943,7.8,"A teenage girl, overjoyed when her uncle comes to visit the family in their quiet California town, slowly begins to suspect that he is the ""Merry Widow"" killer sought by the authorities.",film-Noir
Laura,1944,7.9,A police detective falls in love with the woman whose murder he is investigating.,film-Noir
Joker: Folie à Deux,2024,5.3,"Struggling with his dual identity, failed comedian Arthur Fleck meets the love of his life, Harley Quinn, while incarcerated at Arkham State Hospital.",drama
Monsters,2022–,7.8,An anthology series about high-profile crimes or killers that captured public attention and notoriety.,drama
The Penguin,2024,8.8,"Following the events of The Batman (2022), Oz Cobb, a.k.a. the Penguin, makes a play to seize the reins of the crime world in Gotham.",drama
The Lord of the Rings: The Rings of Power,2022–,6.9,"Epic drama set thousands of years before the events of J.R.R. Tolkien's 'The Hobbit' and 'The Lord of the Rings' follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth.",drama
The Substance,2024,7.8,"A fading celebrity takes a black-market drug: a cell-replicating substance that temporarily creates a younger, better version of herself.",drama
From,2022–,7.8,"Unravel the mystery of a city in middle U.S.A. that imprisons everyone who enters. As the residents struggle to maintain a sense of normality and seek a way out, they must also survive the threats of the surrounding forest.",drama
